Title,Format,Notes / Collection Info
101 Dalmatians,DVD,2-Disc Platinum Edition
A Bug's Life,DVD,Collector's Edition
"Abbott and Costello Show, The",DVD,
"Abyss, The",DVD,Special Edition
Ace Ventura: Pet Detective,DVD,
Ace Ventura: When Nature Calls,DVD,
Aladdin,DVD,Special Edition
Alice in Wonderland,Blu-ray,
Alice Through the Looking Glass,Blu-ray,
All Dogs Go To Heaven,DVD,
Ally McBeal,DVD,Season 1
"American President, The",DVD,
America's Sweethearts,DVD,
Annie,DVD,Special Anniversary Edition
Antz,DVD,
"Apple Dumpling Gang, The",DVD,Special Edition
Armageddon,DVD,
Arthur and the Invisibles,DVD,
Avatar,Blu-ray,
Bandits,DVD,
Batman (1989),Blu-ray,(In 'Batman Legacy' Box?)
Batman Legacy,DVD,"Collection (Batman, Returns, Forever, & Robin)"
Batman Begins,DVD,
Batman: The Dark Knight,Blu-ray,
Batman: The Dark Knight Rises,Blu-ray,
Beauty and the Beast,DVD,Special Edition
Bee Movie,DVD,
Beetlejuice,Blu-ray,
Best Foot Forward,DVD,
"Big Bang Theory, The",DVD,"Seasons 1, 3, 4"
Big Hero 6,Blu-ray,
"Bourne Identity, The",Blu-ray,
"Bourne Supremacy, The",Blu-ray,
"Bourne Ultimatum, The",Blu-ray,
Bruce Almighty,Blu-ray,
"Carol Burnett Show, The",DVD,
Cars,Blu-ray,
Cats & Dogs,DVD,
"Cat in the Hat, The",Blu-ray,
Charlie and the Chocolate Factory,Blu-ray,
Chicago,DVD,
Chitty Chitty Bang Bang,DVD,Special Edition
Cinderella,DVD,Special Edition
Contact,DVD,
Danger! Solar Storm,DVD,
Daredevil,Blu-ray,Director's Cut
Despicable Me,DVD,
Die Another Day,DVD,7
Disney Short Films,Blu-ray,Walt Disney Animation Studios Collection
Doctor Who,DVD,"Multiple Volumes (Genesis of the Daleks, Resurrection, etc.)"
Dragonheart,DVD,Collector's Edition
"Emperor's New Groove, The",DVD,The New Groove Edition
Evan Almighty,Blu-ray,
Faerie Tale Theatre,DVD,The Complete Collection
Fantastic 4,Blu-ray,
Fantastic 4: Rise of the Silver Surfer,Blu-ray,
Fiddler on the Roof,DVD,
Finding Nemo,Blu-ray,
Firefly,DVD,The Complete Series
"First Wives Club, The",DVD,
Free Willy,DVD,10th Anniversary Special Edition
Frozen,Blu-ray,
Ghost Rider,DVD,
Ghostbusters,DVD,
Ghostbusters: Afterlife,Blu-ray,
Gladiator,DVD,
"Godfather, The",DVD,DVD Collection
Grease,DVD,Widescreen
"Greatest Showman, The",Blu-ray,
Happy Feet,DVD,
Harry Potter Series,DVD/Blu-ray,"Full set visible (Years 1-7, some overlap)"
Heat,DVD,
Highlander,DVD,
Highlander 2,DVD,
Hitch,Blu-ray,
"Hobbit, The: An Unexpected Journey",DVD,
"Hobbit, The: Desolation of Smaug",DVD,
Horton Hears A Who!,DVD,
Hotel Transylvania 3,DVD,
How Do You Know,DVD,
Ice Age,Blu-ray,
Ice Age: Collision Course,Blu-ray,
Ice Age: Continental Drift,DVD,
Ice Age: Dawn of the Dinosaurs,Blu-ray,
"Incredibles, The",DVD,2-Disc Collector's Edition
Independence Day,DVD,Five Star Collection
Indiana Jones,DVD,The Complete DVD Movie Collection
Jeff Dunham: Arguing with Myself,DVD,
Jeff Dunham: Spark of Insanity,DVD,
John Adams,DVD,HBO Miniseries
John Wick 1 - 4,Blu-ray/4K,Individual Cases
Jumanji,Blu-ray,
Jurassic Park,DVD,Collector's Edition
Jurassic Park: The Lost World,DVD,Collector's Edition
Jurassic Park III,DVD,Widescreen
Justice League,4K Ultra HD,
Lady and the Tramp,Blu-ray,50th Anniversary Edition
Lake Placid,DVD,
"Last Stand, The",Blu-ray,
Leap of Faith,DVD,
"Legendary Victor Borge, The",DVD,
Liar Liar,Blu-ray,Collector's Edition
"Lion King, The",DVD,Special Edition
Lion King 2: Simba's Pride,DVD,Special Edition
"Little Mermaid, The",Blu-ray,Special Edition
Little Shop of Horrors,Blu-ray,
"Lorax, The",DVD,
Lord of the Rings: Fellowship,DVD,Special Extended Edition
Lord of the Rings: Trilogy,Blu-ray/4K,Box Set
"Love Bug, The",DVD,4-Film Herbie Collection
"Lucy Show, The",DVD,Two volumes visible
Mad Max Beyond Thunderdome,DVD,
Madagascar Collection,DVD,
Mamma Mia!,Blu-ray,
"Man in the Iron Mask, The",Blu-ray,
Mary Poppins,Blu-ray,50th Anniversary Edition
"Mask, The",Blu-ray,
Meat Loaf,DVD,Hits Out of Hell
Meet the Fockers,DVD,Widescreen
Meet the Parents,DVD,Bonus Edition
"Mel Brooks Collection, The",Blu-ray,
Men in Black (MIB),DVD,
Men in Black II,DVD,2 Disc Set
Mickey Blue Eyes,DVD,
Minion Madness,DVD,
Minority Report,DVD,Widescreen
Mission: Impossible,DVD,6-Movie Collection
Moana,DVD,
Monster-in-Law,DVD,
"Monsters, Inc.",Blu-ray,
Moulin Rouge / Rocky Horror / We Bought a Zoo,DVD,Triple Feature (Spine hard to read)
Mrs. Doubtfire,DVD,Widescreen
My Big Fat Greek Wedding,DVD,
My Fair Lady,DVD,
Mystic River,DVD,
"Neverending Story, The",DVD,
Nightmare Before Christmas,DVD,Collector's Edition
Nine Months,DVD,
Notting Hill,DVD,Collector's Edition
Ocean's Eleven,DVD,Widescreen
Oliver!,DVD,
"Pagemaster, The",Blu-ray,
"Pajama Game, The",DVD,
Peter Pan,DVD,Special Edition
"Phantom of the Opera, The",DVD,Widescreen
Pinocchio,DVD,70th Anniversary Edition
Pirates of the Caribbean 1-3,DVD,"Black Pearl, Dead Man's Chest, At World's End"
Pixar Short Films,Blu-ray,Volume 1
Popeye,DVD,75th Anniversary Edition
"Pretender, The",DVD,Season 1?
"Princess Bride, The",DVD,Special Edition
Racing Stripes,DVD,
Ratatouille,DVD,
Robin Williams: Live on Broadway,DVD,
Roxanne,DVD,
Runaway Bride,DVD,
Runaway Jury,DVD,
Sahara,DVD,Widescreen
Secretariat,DVD,
Serenity,DVD,
Shark Tale,DVD,
"Shrek 1, 2, & The Third",DVD/Blu-ray,
Sleepless in Seattle,DVD,10th Anniversary Edition
"Sound of Music, The",DVD,Special Gold Box
Spaceballs,DVD,Collector's Edition
Star Wars: Rogue One,Blu-ray,
Star Wars: I - VI,DVD,Widescreen (Silver/Gold Spines)
Starry Night,DVD,
"Superman I, II, III, IV",Blu-ray,Individual Cases
Superman Returns,Blu-ray,
Switch,DVD,
Tangled,Blu-ray,
Terminator 2: Judgment Day,DVD,Extreme DVD
Terminator 3: Rise of the Machines,DVD,Widescreen
Tim McGraw,DVD,Louisiana (Live)
Titanic,DVD,
Toy Story,Blu-ray,Special Edition
Toy Story 3,Blu-ray,
Transformers,4K Ultra HD,The Ultimate 5-Movie Collection
Turbo,Blu-ray,
Two Weeks Notice,DVD,
Unbreakable,Blu-ray,
"Untouchables, The",DVD,Special Collector's Edition
Up,Blu-ray,
Venom: Let There Be Carnage,Blu-ray,
Victor Borge's Funniest Moments,DVD,
Wall-E,Blu-ray,
What Women Want,DVD,Special Edition
While You Were Sleeping,DVD,
World's Greatest Dad,DVD,
X2: X-Men United,DVD,Widescreen
X-Men: The Last Stand,DVD,Widescreen
Young Frankenstein,DVD,Mel Brooks Series